,,,,,,,
Sr. No.,PS Number,Organization,Problem Statement Title,description,Category,Submitted Idea Count(s),Theme
24,SIH26024,Ministry of Coal,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines,"Build an automated environmental and statutory compliance monitoring dashboard for coal mining leases using drone surveillance, telemetry, and automated audit checks.",Software,0/500,Smart Automation
25,SIH26025,Ministry of Coal,"Development of an AI-enabled Low Cost Real Time Mine Subsidence Monitoring, Prediction and Early Warning System for Underground Coal Mines in India","Develop an affordable IoT ground sensor network integrated with predictive AI to detect early ground displacement, subsidence, and strata movement above underground coal mines.",Hardware,0/500,Smart Automation
26,SIH26026,Ministry of Railways,Development of Mobile (Quadruped)/Handheld Device/System for Real-Time Detection of Narcotics and Explosives across Indian Railways.,Design a rugged handheld or quadruped robotic inspection device equipped with electronic sniffing and chemical sensors to detect narcotics and explosives on railway premises.,Hardware,0/500,Blockchain & Cybersecurity
27,SIH26027,Ministry of Railways,Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways,Build an AI-driven timetable and block maintenance scheduler that optimizes track possession windows while minimizing disruption to passenger and freight train operations.,Software,0/500,Transportation & Logistics
28,SIH26028,Ministry of Railways,Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains,"Develop a dynamic predictive arrival estimation model incorporating real-time telemetry, signal status, and route congestion to provide hyper-accurate ETAs for coaching trains.",Software,0/500,Smart Automation
29,SIH26029,"Ministry of Consumer Affairs, Food & Public Distribution",Automated High-Current Short-Circuit Test System for IEC 60898-1:2015 MCB Compliance.,Design an automated high-current testing rig and safety enclosure to perform standardized short-circuit breaking tests on miniature circuit breakers according to IEC 60898-1:2015.,Hardware,0/500,Smart Automation
30,SIH26030,"Ministry of Consumer Affairs, Food & Public Distribution",Automated Cable Specimen Preparation System for IS 10810 and IS 7098 Compliance.,"Engineer an automated specimen preparation apparatus to cut, strip, and condition electric power cables for rigorous physical and mechanical testing under IS 10810 and IS 7098 standards.",Hardware,0/500,Smart Automation
31,SIH26031,"Ministry of Consumer Affairs, Food & Public Distribution","Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies.","Create a computer vision system that captures multi-angle imagery of onions at procurement mandis to automatically grade quality, size, and defects, eliminating subjective disputes.",Software,0/500,Smart Automation
32,SIH26032,"Ministry of Consumer Affairs, Food & Public Distribution","Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.","Build a transparent procurement queue management mobile app and SMS alert system informing farmers of real-time mandi slots, arrival schedules, and crop purchase status.",Software,0/500,Smart Automation
33,SIH26033,"Ministry of Consumer Affairs, Food & Public Distribution",Multiple intermediaries reduce farmers earnings and increase consumer prices.,Develop a direct-to-consumer and farm-to-retail digital marketplace with price discovery algorithms that disintermediates agricultural supply chains to maximize farmer profits.,Software,0/500,"Agriculture, FoodTech & Rural Development"
34,SIH26034,"Ministry of Consumer Affairs, Food & Public Distribution","Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels.","Build an AI mobile scanner that extracts text, barcodes, and mandatory declarations on packaged commodity labels to audit compliance with Legal Metrology Rules 2011.",Software,0/500,Miscellaneous
35,SIH26035,"Ministry of Consumer Affairs, Food & Public Distribution",Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76,"Develop a specialized application that logs calibration data and automatically generates standardized, tamper-evident test verification reports for Non-Automatic Weighing Instruments under OIML R-76.",Software,0/500,Miscellaneous
36,SIH26036,"Ministry of Consumer Affairs, Food & Public Distribution",Development of an Online Verification System for Weighing and Measuring Instruments,"Create a cloud-based verification and stamping lifecycle management portal to track inspection schedules, field inspector audits, and verification certificates for commercial weighing scales.",Software,0/500,Miscellaneous
37,SIH26037,MathWorks,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads,"Formulate an adaptive autonomous driving path-planning and obstacle avoidance algorithm capable of navigating chaotic traffic, unpaved surfaces, and unpredictable obstacles on Indian roads.",Software,0/500,Smart Vehicles
38,SIH26038,MathWorks,Explainable AI for Diabetic Retinopathy Screening in Rural India,"Build an interpretable deep learning diagnostic tool that scans fundus retinal photos, generates diagnostic heatmaps, and screens for diabetic retinopathy stages in rural clinic settings.",Software,0/500,MedTech / BioTech / HealthTech
39,SIH26039,Governmcnt of Jharkhand,"Al-Powered Underground Mine Safety, Monitoring and Rescue System.","Design an integrated underground miner wearable and environmental sensor system that tracks personnel locations, detects toxic gases, and triggers automated search-and-rescue beacons.",Hardware,0/500,Smart Automation
40,SIH26040,Governmcnt of Jharkhand,Smart Water Purification and Quality Monitoring System for Rural and Mining-Affected Areas.,Engineer an energy-efficient solar-assisted water purification plant with continuous IoT water quality monitoring to remove heavy metals and contaminants from mining-affected groundwater.,Hardware,0/500,Clean & Green Technology
41,SIH26041,Governmcnt of Jharkhand,AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector,"Develop an interactive Augmented Reality (AR) safety simulation headset program to train industrial miners on hazard response, machinery operation, and emergency evacuation protocols.",Software,0/500,Smart Education
42,SIH26042,Governmcnt of Jharkhand,Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education,Build an AI speech and translation tool that translates primary educational content into local tribal and regional vernacular dialects to support mother-tongue foundational literacy.,Software,0/500,Smart Education
43,SIH26043,Governmcnt of Jharkhand,A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships,Create a collaborative open-innovation web portal connecting academic researchers and university students with industrial and civil challenges posted by state public bodies.,Software,0/500,Smart Education
44,SIH26044,Ministry of Ayush,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement",Build a centralized skill-matching and internship placement portal that aligns Ayurveda curriculum competencies with specific pharmaceutical and research industry workforce demands.,Software,0/500,Smart Automation
45,SIH26045,Ministry of Ayush,"IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes.","Develop a multi-lingual retrieval-augmented generation (RAG) conversational agent to provide accurate, citation-backed legal and regulatory guidance on Ayurvedic IP and patents.",Software,0/500,MedTech / BioTech / HealthTech
46,SIH26046,Ministry of Ayush,"AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking.","Build a GCP-compliant, CDISC/FHIR-interoperable Clinical Trial Management System (CTMS) dashboard for Ayurveda research with automated ethics, CTRI, and pharmacovigilance tracking.",Software,0/500,MedTech / BioTech / HealthTech
47,SIH26047,Ministry of Ayush,Patient Case-Taking Software,"Develop a standardized Ayurvedic clinical case-taking electronic health record (EHR) software that records Prakriti assessment, Rogi-Roga Pariksha, and longitudinal therapeutic outcomes.",Software,0/500,MedTech / BioTech / HealthTech
48,SIH26048,Ministry of Ayush,"iKwath - a pod-based smart Kwatha (Kadha) maker that prepares a fresh, AFI/API-standardized decoction from coarse powder (yavaku?a c?r?a) on demand, in the shortest practical time without altering the decoctions quality or yield","Design a smart, automated pod-based decoction appliance that brews AFI/API-compliant standardized herbal Kwath formulations from coarse botanical powders in minutes.",Hardware,0/500,MedTech / BioTech / HealthTech
49,SIH26049,DRDO,"Modifications to improve the reliability, efficiency,and lifespan of electrical and electronic equipment and systems in the ambient condition of subzero temperature and low pressure of High Altitude Areas(HAA) and Super High Altitude Areas (SHAA) of Ladakh region.",Engineer ruggedized thermal enclosures and electrical modifications to prevent power degradation and component freezing in electronic hardware deployed in subzero high-altitude border posts.,Hardware,0/500,Smart Automation
50,SIH26050,DRDO,High Altitude Performance Optimization and Robust Design of Anti-Drone System.,"Develop a ruggedized, counter-UAS anti-drone jamming and detection system aerodynamically and electronically optimized for high-altitude rarefied atmospheres and freezing conditions.",Hardware,0/500,Robotics and Drones
51,SIH26051,DRDO,Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.,Build a thermal modeling and architectural simulation tool to optimize the passive thermal insulation and energy footprint of military shelters in extreme climates.,Software,0/500,Miscellaneous
52,SIH26052,DRDO,"To develop an AI/ML-enabled adaptive noise cancellation (ANC) system that effectively suppresses stationary, non-stationary, and impulsive defence noises while maintaining high speech intelligibility and real-time performance on embedded hardware.","Design an embedded low-latency AI digital signal processing unit that cancels heavy engine, rotor, and gunfire acoustic noise while preserving tactical voice clarity for field radio communications.",Hardware,0/500,Miscellaneous
53,SIH26053,DRDO,Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception,Formulate an adaptive 2.5D LiDAR point cloud processing algorithm that dynamically adjusts spatial resolution based on vehicle velocity and environmental complexity for navigation.,Software,0/500,Smart Vehicles
54,SIH26054,DRDO,"AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs.","Develop a predictive digital twin simulation platform for UAV piston engines that processes sensor telemetry to diagnose mechanical wear, predict failures, and maximize mission readiness.",Software,0/500,Robotics and Drones
55,SIH26055,DRDO,Smart Scan strategy for Electronic Warfare,Implement an intelligent spectrum analysis algorithm that dynamically prioritizes radar frequencies and scanning intervals to counter adversary electronic warfare jamming.,Software,0/500,Robotics and Drones
56,SIH26056,MoSPI,Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).,Create an automated web crawling and aggregation engine that tracks airline ticket prices across aggregators and airline sites to compute a real-time airfare component for the CPI.,Software,0/500,Smart Automation
57,SIH26057,Ministry of Earth Sciences (MoES),AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery,"Develop a convolutional neural network model to detect, classify, and map marine plastic debris and submerged anomalies from side-scan sonar acoustic survey images.",Software,0/500,Disaster Management
58,SIH26058,Ministry of Earth Sciences (MoES),"Development of a Low-Power, Real-Time Adaptive Software-Defined Sonar Transmitter Payload for Autonomous Underwater Vehicles (AUVs)","Engineer a compact, low-power software-defined acoustic sonar transmitter with real-time waveform modulation for integration into autonomous underwater exploration vehicles.",Hardware,0/500,Robotics and Drones
59,SIH26059,Ministry of Earth Sciences (MoES),"AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System",Build an AI-driven ice navigation support platform that fuses satellite synthetic aperture radar (SAR) imagery and ocean models to project iceberg trajectories and plot safe polar passages.,Software,0/500,Transportation & Logistics
60,SIH26060,Ministry of Earth Sciences (MoES),Digital Platform for efficient remote management of Indian Antarctic Research Stations,"Create a secure IoT central monitoring dashboard to remotely manage life support systems, power generation, and scientific equipment across Indian Antarctic research stations.",Software,0/500,Smart Automation
61,SIH26061,Ministry of Earth Sciences (MoES),AI-Driven Smart Energy Management System for Polar Research Stations,"Build an intelligent microgrid energy management platform optimizing wind, solar, and diesel generator dispatch to maintain continuous power in harsh polar environments.",Software,0/500,Clean & Green Technology
62,SIH26062,Ministry of Earth Sciences (MoES),Integrated Polar Expedition Logistics and Asset Management System,"Develop an enterprise logistics planning system that manages inventory, cold-chain transport, and equipment maintenance schedules for scientific expeditions to Antarctica and the Arctic.",Software,0/500,Smart Automation
63,SIH26063,Ministry of Earth Sciences (MoES),"Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal","Build a centralized public science communication repository and multimedia dissemination portal showcasing India's polar research discoveries, publications, and expedition archives.",Software,0/500,Smart Education
64,SIH26064,Ministry of Earth Sciences (MoES),Low-Cost Deployable Seafloor Metal Detection Sensor for Ocean Resource Exploration,"Design an autonomous, pressure-tolerant magnetic and electromagnetic sensor array deployable onto the deep ocean floor for identifying polymetallic nodule deposits.",Hardware,0/500,Robotics and Drones
65,SIH26065,Ministry of Earth Sciences (MoES),Autonomous Low-Cost Ocean Observation Platform for Polar and Southern Oceans,"Develop a durable, low-cost autonomous drifter buoy equipped with telemetry sensors to record ocean temperature, salinity, and biogeochemical markers in the Southern Ocean.",Hardware,0/500,Robotics and Drones
66,SIH26066,Ministry of Earth Sciences (MoES),OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.,Create a deep learning neural network that reconstructs vertical subsurface ocean temperature and salinity profiles from surface satellite altimetry and sea surface temperature data.,Software,0/500,Disaster Management
67,SIH26067,Ministry of Earth Sciences (MoES),Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.,"Build a high-performance WebGL 3D interactive oceanographic visualization portal rendering complex ocean current models, salinity layers, and buoy sensor observations in real time.",Software,0/500,Disaster Management
68,SIH26068,Ministry of Earth Sciences (MoES),"WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information","Develop a conversational domain-specific LLM assistant providing real-time weather forecasts, severe climate alerts, and agricultural weather advisories in regional Indian languages.",Software,0/500,Disaster Management
69,SIH26069,Ministry of Earth Sciences (MoES),National Weather Big Data Analytics Platform,Establish a centralized cloud analytics platform to process massive multi-source meteorological datasets for advanced weather pattern analysis.,Software,0/500,Disaster Management
70,SIH26070,Ministry of Earth Sciences (MoES),"To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data.","Develop AI/ML classification models using satellite imagery to detect cyclone genesis, analyze spiral patterns, and forecast storm tracks.",Software,0/500,Disaster Management
71,SIH26071,Ministry of Earth Sciences (MoES),"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.","Build an integrated predictive model combining radar, satellite, and NWP forecasts to issue early warnings for localized heavy rainfall and inundation.",Software,0/500,Disaster Management
72,SIH26072,Ministry of Earth Sciences (MoES),"AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.","Develop a short-term nowcasting model fusing Doppler radar, satellite, and lightning network data to predict severe thunderstorms and lightning strikes.",Software,0/500,Disaster Management
73,SIH26073,Ministry of Earth Sciences (MoES),AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS),"Create an automated anomaly detection algorithm to identify faulty sensors, calibration drifts, and transmission errors in Automatic Weather Stations.",Software,0/500,Disaster Management
74,SIH26074,Ministry of Earth Sciences (MoES),Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.,Formulate a statistical downscaling model to refine broad block-level weather forecasts into high-resolution panchayat-level advisories for farming.,Software,0/500,"Agriculture, FoodTech & Rural Development"
75,SIH26075,Ministry of Earth Sciences (MoES),"Participants are invited to design and develop **CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal** to support organizational training, competency development, and knowledge sharing through a centralized web-based platform.","Develop a centralized digital LMS platform called Capacity Connect to manage competencies, technical courses, and organizational training programs.",Software,0/500,Smart Education
76,SIH26076,Ministry of Earth Sciences (MoES),Development of personalized homepage for 'Mausam' mobile application:,"Redesign the 'Mausam' mobile app with an adaptive, personalized dashboard that highlights local weather alerts, air quality, and customized rain forecasts.",Software,0/500,Smart Automation
77,SIH26077,Ministry of Earth Sciences (MoES),AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting,"Build an AI-driven severe weather nowcasting system that provides rapid 0-3 hour localized alerts for destructive winds, downpours, and squalls.",Software,0/500,Disaster Management
78,SIH26078,Ministry of Earth Sciences (MoES),AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts,Develop a spatio-temporal tracking algorithm to detect and follow the propagation of anomalous weather events in 3 to 10 day medium-range models.,Software,0/500,Smart Automation
79,SIH26079,Ministry of Earth Sciences (MoES),AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts,Implement a machine learning classifier to detect potential forecast busts where numerical weather models drastically diverge from emerging atmospheric trends.,Software,0/500,Smart Automation
80,SIH26080,Ministry of Earth Sciences (MoES),Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts,Create a regime-aware statistical post-processing framework to correct systematic biases and calibrate monsoon rainfall amounts across varied climate regimes.,Software,0/500,Smart Automation
81,SIH26081,Ministry of Earth Sciences (MoES),Hybrid AI–NWP Multi-Model Forecast Blending System,Build a multi-model ensemble blending framework that leverages AI to optimally weight and combine multiple NWP models into a unified forecast.,Software,0/500,Disaster Management
82,SIH26082,Ministry of Earth Sciences (MoES),Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus),Develop an integrated atmospheric-chemical transport model to simulate air pollutant dispersion and predict severe smog events across Delhi NCR.,Software,0/500,Clean & Green Technology
83,SIH26083,Ministry of Earth Sciences (MoES),Extreme Heatwave Early Warning and Human Thermal Stress Index,"Establish an early warning heatwave index combining dry-bulb temperature, humidity, and radiant heat to assess physiological human thermal stress.",Software,0/500,Disaster Management
84,SIH26084,Ministry of Earth Sciences (MoES),"Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)","Construct a high-resolution 0-6 hour convective nowcasting system using radar echo extrapolation to predict hail, cloudbursts, and microbursts.",Software,0/500,Disaster Management
85,SIH26085,Ministry of Earth Sciences (MoES),Urban Flood Nowcasting System (Drainage and Rainfall Coupling),Build an urban flood simulation tool that couples real-time rainfall forecasts with municipal drainage network capacities to predict street inundation.,Software,0/500,Disaster Management
86,SIH26086,Ministry of Earth Sciences (MoES),Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale),"Develop a machine learning framework to predict the precise localized onset, dry spells, and revival phases of the Indian Summer Monsoon at the village level.",Software,0/500,"Agriculture, FoodTech & Rural Development"
87,SIH26087,Ministry of Cooperation,"AI-Enabled Cooperative Capacity Building, ERP & Employment Ecosystem","Create an integrated ERP and skill development ecosystem powered by AI to manage cooperative societies, member accounting, and local job matching.",Hardware,0/500,Smart Education
88,SIH26088,Ministry of Cooperation,Multilingual Cooperative Governance & Legal Assistance Chatbot,"Build a voice-enabled multilingual conversational bot to guide cooperative society members on bylaws, statutory compliance, and legal regulations.",Hardware,0/500,"Agriculture, FoodTech & Rural Development"
89,SIH26089,Ministry of Cooperation,Cooperative Gig Services Platform for Household & Community Services,Develop an on-demand service aggregation app connecting verified local cooperative gig workers with households requiring maintenance and domestic services.,Software,0/500,"Agriculture, FoodTech & Rural Development"
90,SIH26090,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans,"Create a mobile cataloging and e-commerce application using AI image enhancement to help marginalized artisans photograph, price, and sell crafts online.",Software,0/500,Heritage & Culture
91,SIH26091,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs,"Build an AI business advisor chatbot providing vernacular financial planning, loan application guidance, and bookkeeping advice to rural entrepreneurs.",Software,0/500,"Agriculture, FoodTech & Rural Development"
92,SIH26092,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven Scheme Matching for Marginalized Entrepreneurs,Develop an automated recommendation engine that parses user profiles to match marginalized entrepreneurs with eligible government grants and credit schemes.,Software,0/500,Smart Automation
93,SIH26093,Ministry of Social Justice and Empowerment (MoSJE),AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal,Implement an acoustic and textual sentiment analysis module within the national atrocity helpline to triage caller trauma levels and prioritize interventions.,Software,0/500,MedTech / BioTech / HealthTech
94,SIH26094,Ministry of Social Justice and Empowerment (MoSJE),AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities,Create a continuous psychological support and wellness monitoring app to assist victims of atrocities through recovery tracking and counseling resources.,Software,0/500,MedTech / BioTech / HealthTech
95,SIH26095,Ministry of Social Justice and Empowerment (MoSJE),Smart Real-Time Monitoring & Inspection Mobile App,Develop a mobile geotagged field inspection app with offline synchronization for real-time compliance auditing and infrastructure monitoring.,Software,0/500,Smart Automation
96,SIH26096,Ministry of Social Justice and Empowerment (MoSJE),"Digital Heritage Archive for Memorials, Manuscripts & Ambedkar: AI-Powered Institutional Archive and Audio-Visual Knowledge Platform","Design a digitized institutional multimedia archive preserving Dr. Ambedkar's historical literature, speeches, and civil rights memorabilia.",Hardware,0/500,Smart Education
97,SIH26097,Ministry of Social Justice and Empowerment (MoSJE),AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY,Build an interactive voice bot that conducts vernacular skill surveys and recommends NSQF-aligned vocational training under the PM-AJAY welfare scheme.,Software,0/500,"Agriculture, FoodTech & Rural Development"
98,SIH26098,Ministry of Defence (MoD),Development of a Low-Cost Precision Guidance and Smart Electronic Fuze System for a 155 mm Artillery Shell,Engineer an affordable precision guidance kit and programmable electronic proximity fuze to enhance ballistic accuracy for 155mm artillery shells.,Hardware,0/500,Smart Vehicles
99,SIH26099,Ministry of Petroleum & Natural Gas,AI-Driven Standardization and Harmonization of Material Codes Across CPSEs,"Implement an NLP-based entity resolution tool to standardize, deduplicate, and harmonize disparate material master catalogs across public oil enterprises.",Software,0/500,Smart Automation
